analysis_id,outcome,measure,biomarker,approved,cutoff_cl,time_match,studies,k,estimate,ci_low,ci_high,p_value,tau2
1.1,ADAS-Cog scale at 18 months,SMD,FALSE,FALSE,NA,FALSE,EMERGE 2022; ENGAGE 2022; ENVISION; 3000 Non Carriers 2016; 3001 Carriers 2016; Bapineuzumab-301 2014; Bapineuzumab-302 2014; CREAD 2 2022; TRAILBLAZER-ALZ 2 2023; SCarlet RoAD 2017; CLARITY AD 2023; EXPEDITION - EXPEDITION 2 2016; EXPEDITION 3 2018,13,-0.11064448475099424,-0.1595158023712508,-0.061773167130737675,3.4624305163501575e-4,6.30164670436148e-4
1.1,ADAS-Cog scale at 18 months,SMD,FALSE,FALSE,NA,TRUE,EMERGE 2022; ENGAGE 2022; TRAILBLAZER-ALZ 2 2023; CLARITY AD 2023,4,-0.15821372109714954,-0.2369801826643447,-0.07944725952995438,0.007753223646151914,0
1.1,ADAS-Cog scale at 18 months,SMD,FALSE,FALSE,5,FALSE,EMERGE 2022; ENGAGE 2022; 3001 Carriers 2016; TRAILBLAZER-ALZ 2 2023; SCarlet RoAD 2017; CLARITY AD 2023,6,-0.11767383492388964,-0.22560373159617492,-0.009743938251604342,0.037874820908778174,0.0028831460265735143
1.1,ADAS-Cog scale at 18 months,SMD,FALSE,FALSE,5,TRUE,EMERGE 2022; ENGAGE 2022; TRAILBLAZER-ALZ 2 2023; CLARITY AD 2023,4,-0.15821372109714954,-0.2369801826643447,-0.07944725952995438,0.007753223646151914,0
1.1,ADAS-Cog scale at 18 months,SMD,FALSE,FALSE,10,FALSE,EMERGE 2022; ENGAGE 2022; TRAILBLAZER-ALZ 2 2023; SCarlet RoAD 2017; CLARITY AD 2023,5,-0.14816485834270612,-0.22343646491349411,-0.07289325177191815,0.005451637565942353,4.534095218711622e-6
1.1,ADAS-Cog scale at 18 months,SMD,FALSE,FALSE,10,TRUE,EMERGE 2022; ENGAGE 2022; TRAILBLAZER-ALZ 2 2023; CLARITY AD 2023,4,-0.15821372109714954,-0.2369801826643447,-0.07944725952995438,0.007753223646151914,0
1.1,ADAS-Cog scale at 18 months,SMD,FALSE,FALSE,20,FALSE,EMERGE 2022; ENGAGE 2022; TRAILBLAZER-ALZ 2 2023; CLARITY AD 2023,4,-0.15821372109714954,-0.2369801826643447,-0.07944725952995438,0.007753223646151914,0
1.1,ADAS-Cog scale at 18 months,SMD,FALSE,FALSE,20,TRUE,EMERGE 2022; ENGAGE 2022; TRAILBLAZER-ALZ 2 2023; CLARITY AD 2023,4,-0.15821372109714954,-0.2369801826643447,-0.07944725952995438,0.007753223646151914,0
1.1,ADAS-Cog scale at 18 months,SMD,FALSE,FALSE,30,FALSE,EMERGE 2022; ENGAGE 2022; TRAILBLAZER-ALZ 2 2023; CLARITY AD 2023,4,-0.15821372109714954,-0.2369801826643447,-0.07944725952995438,0.007753223646151914,0
1.1,ADAS-Cog scale at 18 months,SMD,FALSE,FALSE,30,TRUE,EMERGE 2022; ENGAGE 2022; TRAILBLAZER-ALZ 2 2023; CLARITY AD 2023,4,-0.15821372109714954,-0.2369801826643447,-0.07944725952995438,0.007753223646151914,0
