Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,1,Aducanumab,1,,599,,624,13.507667471218458,-0.14145471534214177,-0.4684727905027417,0.18556335981845817,0.004358205375369822,,,2.789076386866231,2,0.24794778594945077,25.029903766966584,,1.8611525299228944,0.055219973816026655,subgroup:462256597512169264
1,1,Bapineuzumab,2,,954,,888,20.155402853245274,-0.01951597074706603,-0.13612346405229164,0.0970915225581596,0,,,1.789867608858836,3,0.6171424733178213,0,,0.5326289695259251,0.6807720852834027,subgroup:462257529226275970
1,1,Crenezumab,3,,12,,15,0.31796776565665047,-0.3377306247437116,-1.1030536622352447,0.42759241274782145,0,,,0,0,1,0,,0,0.38708510438753063,subgroup:462258359254943566
1,1,Donanemab,4,,607,,677,12.925673195416355,-0.17461605996336704,-0.28438211418742354,-0.06485000573931052,0,,,0,0,1,0,,0,0.001821355395721549,subgroup:462258387882380467
1,1,Gantenerumab,5,,167,,175,3.9472668861200275,-0.02475644808313742,-0.23678810339241202,0.18727520722613716,0,,,1.0285260062983354e-33,0,0,0,,0,0.8189917270032893,subgroup:462440778250865353
1,1,Lecanemab,6,,854,,872,16.472467790500122,-0.16356516579866837,-0.258081715008226,-0.06904861658911071,0,,,3.3126911281357272e-31,0,0,0,,0,0.0006943348832166632,subgroup:462258662664088747
1,1,Solanezumab,7,,1716,,1735,32.67355403784314,-0.1144198139408973,-0.7020412351377993,0.4732016072560047,0.0018960032811586461,,,1.7712727558170438,1,0.1832247691331229,43.54342115205601,,2.4741126334299635,0.01335675796418126,subgroup:462258607380538868
1,2,Gantenerumab,1,,16,,30,40.1701202595337,-0.584878,-1.2043638165935748,0.034607816593574925,0,,,0,0,1,0,1.8504698326320121,,0.06424586215721062,subgroup:462940182472991475
1,2,Crenezumab,2,,80,,86,59.82987974046632,0.035927,-0.2685416452143902,0.3403956452143902,0,,,0,0,1,0,0.2312738181069111,,0.8171020856594099,subgroup:462940205723329281
1,4,Aducanumab,1,,599,,624,19.259475644091882,0.09311337833250502,-0.7131971113805522,0.8994238680455622,0.016249012869483735,,,8.508447098343009,2,0.014204142706883971,55.24910636568021,,0.4968737689822135,0.3822879108818209,subgroup:462260104860878941
1,4,Crenezumab,2,,12,,15,0.4218716877121242,0.16793884927381217,-0.5926977031526056,0.92857540170023,0,,,0,0,1,0,,0,0.6652072649428498,subgroup:462260234342192558
1,4,Donanemab,3,,600,,679,20.1855746897889,0.14556071158732342,0.03559766079525875,0.2555237623793881,0,,,0,0,1,0,,0,0.009474210427111376,subgroup:462260258321291168
1,4,Solanezumab,4,,1716,,1735,54.705075071759815,0.1230829455677149,-0.2894374377971293,0.5356033289325591,0,,,0.9075034526664827,1,0.34077782253547295,0,,3.7911268607172293,0.0003043838213341332,subgroup:462260331907997571
1,4,Gantenerumab,5,,167,,175,5.428002906647275,0.0480863852762042,-0.1639680377132999,0.2601408082657083,0,,,0,0,1,0,,0,0.6567172891476809,subgroup:462440855199304407
1,5,Gantenerumab,1,,16,,29,18.85445896457569,0.184919,-0.4267622400071364,0.7966002400071364,0,,,0,0,1,0,,0,0.5535011090291542,subgroup:462940271540609810
1,5,Crenezumab,2,,87,,90,81.1455410354243,-0.094021,-0.3888701419782675,0.20082814197826757,0,,,0,0,1,0,,0,0.531977605875216,subgroup:462940279454737177
2,1,Aducanumab,1,,602,,627,25.005128648799474,-0.0668405948783844,-0.6216897388800254,0.48800854912325653,0.02054130858746536,,,5.581466865798976,2,0.061376229420405215,61.52869152768006,,0.5183244337758338,0.5584745839218255,subgroup:462260742694210486
2,1,Crenezumab,2,,12,,15,1.1594191300883518,-0.8031462679187891,-1.5968378115421122,-0.0094547242954659,0,,,0,0,1,0,,0,0.04733261842316042,subgroup:462261167376668021
2,1,Donanemab,3,,598,,672,15.375065314939155,-0.2931287586575765,-0.40390175211272944,-0.18235576520242353,0,,,0,0,1,0,,0,2.143071199661204e-7,subgroup:462261262408062401
2,1,Solanezumab,4,,1716,,1735,32.660453605522456,-0.07468737134774227,-0.3435651460769983,0.19419040338151372,0,,,0.3860295962482124,1,0.5343941803014074,0,,3.529458812796485,0.028314733202121196,subgroup:462261316084405964
2,1,Lecanemab,5,,859,,875,16.476403070688097,-0.19222440616983708,-0.2865815667072063,-0.09786724563246783,0,,,3.3238922154136087e-31,0,0,0,,0,0.0000652870080351333,subgroup:462417772548690032
2,1,Gantenerumab,6,,167,,175,9.323530229962465,0.05066915011037524,-0.1613886898232896,0.2627269900440401,0,,,4.113088079565617e-33,0,0,0,,0,0.6395598773277675,subgroup:462440925564521188
2,2,Gantenerumab,1,,17,,29,19.747878238438208,-0.125093,-0.7243813877328897,0.4741953877328897,0,,,0,0,1,0,,0,0.6824553849747874,subgroup:462940345036350306
2,2,Crenezumab,2,,86,,88,80.2521217615618,0.07009,-0.22719145728308182,0.3673714572830818,0,,,0,0,1,0,,0,0.6440093360520818,subgroup:462940350596424551
3,2,Crenezumab,1,,12,,15,0.7559274621206095,0.3280886894908053,-0.4368849247052403,1.093062303686851,0,,,0,0,1,0,,0,0.40056826124401224,subgroup:462695267866591329
3,2,Solanezumab,2,,1716,,1735,99.24407253787939,0.08998845305109135,0.012781362421486406,0.16719554368069633,0,,,0.03182074932244653,1,0.8584216818694016,0,,14.809672260323715,0.008246568119727678,subgroup:462695292617441378
3,3,Gantenerumab,1,,15,,28,39.59686480393027,0.46746999999999994,-0.16816983975415412,1.103109839754154,0,,,2.929776096381757e-32,0,0,0,,0,0.14946589189702075,subgroup:462940403687138327
3,3,Crenezumab,2,,88,,90,60.4031351960697,-0.162711,-0.4570368315943954,0.1316148315943954,0,,,0,0,1,0,,0,0.278578034481496,subgroup:462940409884222495
3,5,Aducanumab,1,,599,,624,43.628595342666415,0.20065946295017337,-0.06248395345495347,0.4638028793553002,0.004898014694456488,,,2.0660603563716635,2,0.3559269528568578,27.270757246252163,,3.280978863010948,0.007929025185410615,subgroup:462823259274762502
3,5,Lecanemab,2,,783,,796,56.37140465733358,0.246614,0.14758681968111376,0.34564118031888624,0,,,0,0,1,0,,0,0.0000010553361618866172,subgroup:462823329161566488
4,1,Donanemab,1,314,853,130,874,63.22509125769958,2.4748489494093246,2.0643954576213117,2.9669108696110937,0,,,0,0,1,0,9.794088167830909,,1.1936955408837e-22,subgroup:462280963146255140
4,1,Lecanemab,2,193,898,85,897,36.77490874230041,2.2680597406000262,1.788092097826977,2.8768624352079777,0,,,0,0,1,0,6.750328299351678,,1.4751099299680846e-11,subgroup:462280979532353079
4,2,Aducanumab,1,387,1095,29,1076,35.28163386840225,13.045440137670317,9.030597619409846,18.84520998031815,0,,,0.27206627275860507,1,0.60194910823941,0,13.686166452301306,,1.2282023965269135e-42,subgroup:462281060695543441
4,2,Bapineuzumab,2,256,1923,13,1755,20.565290309803583,16.566457194063254,5.729408720227642,47.90154051914551,0.6238100092392048,,,6.435095660788157,3,0.0922577515283679,55.13392217257397,5.182267150322208,,2.1920493778481975e-7,subgroup:462281098175319713
4,2,Crenezumab,3,1,398,0,388,0.8118334703289259,2.9248120300751883,0.11951309131104863,71.57814526785407,0,,,0,0,1,0,0.6578431199784812,,0.5106389475007329,subgroup:462281184938954478
4,2,Donanemab,4,205,853,18,874,19.627261194728444,11.66927185098346,7.275124533987975,18.717467295025138,0,,,0,0,1,0,10.1916834386924,,2.1599114176625898e-24,subgroup:462281051321011850
4,2,Lecanemab,5,113,898,15,897,17.291954293883474,7.524944320712696,4.426580621513425,12.791992707560027,0,,,0,0,1,0,7.455098121959819,,8.980097306217657e-14,subgroup:462281051323371148
4,2,Solanezumab,6,10,1711,5,1727,6.422026862853338,2.007458629606298,0.6817031360884914,5.911503022714095,0,,,0.2789034072204176,1,0.5974209255600171,0,1.2646301770699584,,0.20600395517661374,subgroup:462281198113263688
4,3,Aducanumab,1,7,680,0,344,9.857683250594222,7.599118942731277,0.435288259576443,132.66291344950963,0,,,0,0,1,0,1.3899221348946573,,0.1645525232820578,subgroup:462941002460473093
4,3,Crenezumab,2,1,399,1,397,10.483839446652851,0.9949874686716792,0.062452538018152245,15.852038911948236,0,,,0,0,1,0,0.0035577802978400646,,0.9971613080179235,subgroup:462959541757367048
4,3,Gantenerumab,3,53,452,5,461,79.65847730275293,9.777363730769803,3.4276020818624247,27.89029742677401,0.13101546880817105,,,1.2913014209732494,1,0.2558083681472658,22.558747031633896,4.263324368355262,,0.000020140781711347685,subgroup:462941001108334340
4,5,Donanemab,1,52,853,1,874,66.70117124826962,53.2801875732708,7.382367491768026,384.5349599580896,0,,,0,0,1,0,,0,0.00008068265430694051,subgroup:462281332756189358
4,5,Lecanemab,2,25,898,0,897,33.298828751730376,50.943270300333715,3.1061696077410943,835.5038895574628,0,,,0,0,1,0,,0,0.005885700910943156,subgroup:462281332758286512
4,7,Donanemab,1,268,853,119,874,100,2.3075452924428856,1.900235123508733,2.8021612750969918,0,,,1.2554177903543463e-30,0,0,0,8.43890167345378,,3.20333418693643e-17,subgroup:462281415190515975
4,7,Lecanemab,2,155,898,81,897,100,1.911449311226594,1.4852377835816704,2.4599687065446343,0,,,0,0,1,0,5.033102570555585,,4.826047370061495e-7,subgroup:462281415192613129
4,7,Crenezumab,3,20,398,23,388,99.99999999999999,0.8477168450950404,0.4733550733408244,1.5181496722661432,0,,,0,0,1,0,0.5556932081867161,,0.578420602893347,subgroup:462281415194448139
4,8,Gantenerumab,1,54,452,43,461,58.620365618744955,1.2775486791975486,0.878450087661142,1.8579662642699717,0,,,0.19188321727876193,1,0.6613538404359547,0,1.281787255202359,,0.19991728620265137,subgroup:462941043681568617
4,8,Aducanumab,2,2,680,0,344,0.8935665895641287,2.5330396475770924,0.1219456991199386,52.61595859880877,0,,,0,0,1,0,0.600484607391166,,0.5481833194222208,subgroup:462941049515059050
4,8,Crenezumab,3,39,399,31,397,40.48606779169093,1.2517584283288867,0.7976133438745941,1.9644846402403753,0,,,0,0,1,0,0.9765419598231435,,0.3287959776727776,subgroup:462959578880889635
5,1,Aducanumab,1,147,1095,151,1076,17.76812180267491,0.9570964791588309,0.7749485528033471,1.1820573986550633,0,,,0.2772448699229223,1,0.5985127977300325,0,0.40712201735070197,,0.6839183742305948,subgroup:462281532911522281
5,1,Bapineuzumab,2,252,1002,197,972,23.409021758896642,1.2283386771397087,1.0363591470921332,1.4558813033018896,0,,,0.8437112874248999,1,0.3583375693414702,0,2.371838915890061,,0.017699805466297645,subgroup:462281532915454445
5,1,Crenezumab,3,33,404,42,398,5.005122829790988,0.7740452616690241,0.5013086222133811,1.1951640976508928,0,,,0,0,1,0,1.155584486162405,,0.2478511764565443,subgroup:462281532924367353
5,1,Donanemab,4,148,853,138,874,13.558102563507674,1.0988667448221963,0.8890498331464223,1.3582007193035028,0,,,0,0,1,0,0.8721117363849611,,0.38314743330034184,subgroup:462281532920697333
