analysis_id,outcome,measure,scenario,k,estimate,ci_low,ci_high,p_value,tau2,i2
1.1,ADAS-Cog scale at 18 months,SMD,Biomarker-confirmed,8,-0.1269379879927139,-0.18569856527161727,-0.06817741071381056,0.0013868065435891758,5.078233080040511e-4,8.649385952401634
1.1,ADAS-Cog scale at 18 months,SMD,Cochrane class pool,13,-0.11064448475099421,-0.1595158023712508,-0.06177316713073764,3.4624305163501705e-4,6.30164670436144e-4,10.063043484523723
1.1,ADAS-Cog scale at 18 months,SMD,Currently active agents: lecanemab + donanemab,2,-0.1682702454651349,-0.23989329918811836,-0.09664719174215142,4.130346859162857e-6,0,0
1.1,ADAS-Cog scale at 18 months,SMD,Demonstrated clearance: >=10 CL,5,-0.1481648583427061,-0.22343646491349411,-0.07289325177191809,0.005451637565942363,4.534095218706472e-6,0.09486878799774635
1.1,ADAS-Cog scale at 18 months,SMD,Response primary: clearing approved-generation trials,4,-0.15821372109714948,-0.23698018266434473,-0.07944725952995425,0.007753223646151942,0,0
1.2,ADAS-Cog scale at 24 months,SMD,Biomarker-confirmed,2,-0.2134511150771982,-0.8099558948678978,0.38305366471350144,0.4830868444649154,0.13068342239449993,67.81723560627916
1.2,ADAS-Cog scale at 24 months,SMD,Cochrane class pool,2,-0.2134511150771982,-0.8099558948678978,0.38305366471350144,0.4830868444649154,0.13068342239449993,67.81723560627916
1.2,ADAS-Cog scale at 24 months,SMD,Demonstrated clearance: >=10 CL,1,-0.584878,-1.2043638165935748,0.034607816593574814,0.06424586215544333,0,NA
1.3,ADAS-Cog scale above 24 months,SMD,Biomarker-confirmed,2,-0.11765498742004359,-0.20631186107373514,-0.02899811376635203,0.009294325651543764,0,0
1.3,ADAS-Cog scale above 24 months,SMD,Cochrane class pool,2,-0.11765498742004359,-0.20631186107373514,-0.02899811376635203,0.009294325651543764,0,0
1.3,ADAS-Cog scale above 24 months,SMD,Demonstrated clearance: >=10 CL,2,-0.11765498742004359,-0.20631186107373514,-0.02899811376635203,0.009294325651543764,0,0
1.4,MMSE scale at 18 months,SMD,Biomarker-confirmed,7,0.10168340609901055,0.013931131508456623,0.18943568068956448,0.029747140850409436,3.6200214943650266e-6,0.053883177237247046
1.4,MMSE scale at 18 months,SMD,Cochrane class pool,8,0.11479570285245187,0.04137632887883533,0.18821507682606842,0.0076829383393765575,1.9716864451821197e-6,0.03456161596491084
1.4,MMSE scale at 18 months,SMD,Currently active agents: lecanemab + donanemab,1,0.14556071158732342,0.03559766079525874,0.2555237623793881,0.009474210427497175,0,NA
1.4,MMSE scale at 18 months,SMD,Demonstrated clearance: >=10 CL,4,0.09558999252506314,-0.05239698184162078,0.24357696689174707,0.13204527419609205,0.0029547862616434795,32.43299052474023
1.4,MMSE scale at 18 months,SMD,Response primary: clearing approved-generation trials,3,0.10267252579951736,-0.15933028417191786,0.36467533577095257,0.23382211826503121,0.005255837247598882,50.20276544932284
1.5,MMSE scale at 24 months,SMD,Biomarker-confirmed,2,-0.041428372164212565,-0.3070308965575574,0.22417415222913223,0.7598232522121194,0,0
1.5,MMSE scale at 24 months,SMD,Cochrane class pool,2,-0.041428372164212565,-0.3070308965575574,0.22417415222913223,0.7598232522121194,0,0
1.5,MMSE scale at 24 months,SMD,Demonstrated clearance: >=10 CL,1,0.184919,-0.4267622400071364,0.7966002400071364,0.5535011059778423,0,NA
1.6,ADAS-Cog 24 months mean difference,MD,Biomarker-confirmed,2,-1.4055037783375324,-5.245306413837063,2.4342988571619975,0.4731172993008963,5.423950000000001,68.82792226332252
1.6,ADAS-Cog 24 months mean difference,MD,Cochrane class pool,2,-1.4055037783375324,-5.245306413837063,2.4342988571619975,0.4731172993008963,5.423950000000001,68.82792226332252
1.6,ADAS-Cog 24 months mean difference,MD,Demonstrated clearance: >=10 CL,1,-3.71,-7.492730490162304,0.07273049016230448,0.05457056124297725,0,NA
2.1,CDR-SB scale at 18 months,SMD,Biomarker-confirmed,8,-0.13682367444896884,-0.279188648002032,0.0055412991040943715,0.057258784093595035,0.011450629173900094,68.06131773570849
2.1,CDR-SB scale at 18 months,SMD,Cochrane class pool,9,-0.12360704450684494,-0.2431373516407464,-0.004076737372943479,0.04422331763822816,0.00992017602479526,67.0327253844976
2.1,CDR-SB scale at 18 months,SMD,Currently active agents: lecanemab + donanemab,2,-0.2383329171312891,-0.3368502033469807,-0.1398156309155975,2.1209678682029373e-6,0.0023348690613401624,45.86408424331176
2.1,CDR-SB scale at 18 months,SMD,Demonstrated clearance: >=10 CL,5,-0.14084870942945366,-0.32257622404934705,0.04087880519043971,0.0977734175044781,0.015051808790402549,75.84510866614151
2.1,CDR-SB scale at 18 months,SMD,Response primary: clearing approved-generation trials,4,-0.17732375748504858,-0.3801162793058889,0.02546876433579176,0.06883215469400818,0.011051713660561511,72.93959835639485
2.2,CDR-SB scale at 24 months,SMD,Biomarker-confirmed,2,0.031545498817869146,-0.23476977988617057,0.29786077752190887,0.8164129089891102,0,0
2.2,CDR-SB scale at 24 months,SMD,Cochrane class pool,2,0.031545498817869146,-0.23476977988617057,0.29786077752190887,0.8164129089891102,0,0
2.2,CDR-SB scale at 24 months,SMD,Demonstrated clearance: >=10 CL,1,-0.125093,-0.7243813877328897,0.4741953877328897,0.6824553839373367,0,NA
2.3,CDR-SB scale above 24 months,SMD,Biomarker-confirmed,2,-0.07010296517035747,-0.1587119765097488,0.01850604616903387,0.12099174319043722,0,0
2.3,CDR-SB scale above 24 months,SMD,Cochrane class pool,2,-0.07010296517035747,-0.1587119765097488,0.01850604616903387,0.12099174319043722,0,0
2.3,CDR-SB scale above 24 months,SMD,Demonstrated clearance: >=10 CL,2,-0.07010296517035747,-0.1587119765097488,0.01850604616903387,0.12099174319043722,0,0
2.4,CDR-SB 24 months mean difference,MD,Biomarker-confirmed,2,0.03187919463087242,-0.6425001302343454,0.7062585194960902,0.9261806438041792,0,0
2.4,CDR-SB 24 months mean difference,MD,Cochrane class pool,2,0.03187919463087242,-0.6425001302343454,0.7062585194960902,0.9261806438041792,0,0
2.4,CDR-SB 24 months mean difference,MD,Demonstrated clearance: >=10 CL,1,-0.25,-1.4259783907240324,0.9259783907240324,0.6769222390213793,0,NA
3.1,DAD total score at 18 months,SMD,Cochrane class pool,4,0.04141224471514686,-0.15981967207131642,0.2426441615016101,0.5592504435881637,0.008246332150662004,47.339757601024054
3.2,ADCS-ADL score at 18 months,SMD,Biomarker-confirmed,2,0.08816284866786056,0.003686722140595511,0.1726389751951256,0.040805482704141624,0,0
3.2,ADCS-ADL score at 18 months,SMD,Cochrane class pool,3,0.09178831812571328,0.026397093158122498,0.15717954309330406,0.026336974192994692,0,0
3.3,ADCS-ADL score at 24 months,SMD,Biomarker-confirmed,2,0.08682091859005583,-0.5172299831097308,0.6908718202898424,0.7781675439764495,0.13469954542799994,67.83682538876192
3.3,ADCS-ADL score at 24 months,SMD,Cochrane class pool,2,0.08682091859005583,-0.5172299831097308,0.6908718202898424,0.7781675439764495,0.13469954542799994,67.83682538876192
3.3,ADCS-ADL score at 24 months,SMD,Demonstrated clearance: >=10 CL,1,0.46747,-0.16816983975415406,1.103109839754154,0.14946589189713325,0,NA
